Country,InternetPrice,EducationInverst
 Albania,21.16,3.099999905
 Algeria,45.18,6.100359917
 Argentina,29.414,4.724170208
 Armenia,17.69,2.705670118
 Australia,51.66125,5.123449802
 Austria,34.664,5.224520206
 Azerbaijan,18.32,2.681080103
 Bahrain,60.52,2.152053356
 Bangladesh,28.59,1.326320052
 Belarus,12.04,4.952449799
 Belgium,51.4675,6.381370068
 Bolivia,49.69,8.899999619
 Bosnia and Herzegovina,22.815,
 Botswana,73.69,8.739999771
 Brazil,21.983,6.088510036
 Bulgaria,11.802,4.075270176
 Cambodia,30.14,2.162859917
 Canada,55.40137931,
 Chile,33.35,5.433169842
 Colombia,27.512,4.933100224
 Costa Rica,49.54,6.710669994
 Croatia,30.38166667,3.907550097
 Cyprus,47.10666667,5.718530178
 Czech Republic,18.4575,4.26692009
 Dominican Republic,45.02,4.618702412
 Ecuador,43.96333333,4.134130001
 El Salvador,46.62,3.385159969
 Estonia,25.75,5.26320982
 Finland,22.71666667,6.275420189
 France,29.04714286,
 Georgia,15.075,3.850080013
 Germany,37.14375,4.975769997
 Ghana,49.21,3.886130095
 Greece,36.9,3.597340107
 Guatemala,67.03,3.299720049
 Honduras,69.29,6.438438892
 Hungary,14.44,4.622829914
 Iceland,67.09,7.561709881
 India,10.50333333,4.474229813
 Indonesia,29.87666667,2.841850042
 Iraq,37.54,
 Ireland,55.91666667,3.392869949
 Israel,24.87,6.112339973
 Italy,32.23636364,4.256140232
 Japan,41.91,
 Jordan,44.61,2.988470078
 Kazakhstan,11.34,2.856970072
 Kenya,59.88,5.079969883
 Kuwait,22.04,6.551259995
 Latvia,17.5,4.243569851
 Lebanon,51.9,2.592020035
 Lithuania,11.9,3.892930031
 Luxembourg,60.29,
 Malaysia,28.48666667,3.916970015
 Maldives,109.22,4.121590137
 Mexico,24.62111111,4.254220009
 Montenegro,24.29,
 Morocco,28.95666667,6.754302025
 Namibia,48.16,9.446896553
 Nepal,17.35,4.389999866
 New Zealand,48.8675,6.048500061
 Nicaragua,62.55,4.630000114
 Nigeria,40.95,
 North Macedonia,20.38,
 Norway,48.815,7.644110203
 Oman,81.81,5.413209915
 Pakistan,23.09833333,2.507550001
 Panama,46.43,3.906071424
 Paraguay,33.06,3.303621531
 Peru,32.58,4.246679783
 Philippines,48.4275,3.880000114
 Poland,13.577,4.615799904
 Portugal,35.726,4.675159931
 Qatar,84.92,3.233669996
 Romania,8.832,3.344749928
 Saudi Arabia,61.12,7.809313774
 Serbia,20.86,3.616470098
 Singapore,31.79,2.506659985
 Slovenia,39.47,4.935870171
 South Africa,53.388,6.192880154
 Spain,43.79222222,4.181570053
 Sri Lanka,17.42,1.929999948
 Sweden,31.125,7.640840054
 Switzerland,60.225,4.863259792
 Tanzania,72.67,3.225153446
 Thailand,20.6625,2.968980074
 Trinidad and Tobago,49.66,4.103740215
 Tunisia,15.2,7.32434988
 Uganda,69.06,2.586275816
 Ukraine,5.01,5.441299915
 United Arab Emirates,100.362,3.879869938
 United Kingdom,37.69043478,5.167990208
 Uruguay,32.34,4.703259945
 Uzbekistan,33.56,4.922790051
 Vietnam,10.575,4.061970234
 Zimbabwe,104.83,3.866110086
